sample	custom_content_biotype_counts_mqc_generalstats_custom_content_biotype_counts_percent_r_rna	r_se_qc_mqc_generalstats_rseqc_proper_pairs_percent	samtools_stats_mqc_generalstats_samtools_stats_error_rate	samtools_stats_mqc_generalstats_samtools_stats_non_primary_alignments	samtools_stats_mqc_generalstats_samtools_stats_reads_mapped	samtools_stats_mqc_generalstats_samtools_stats_reads_mapped_percent	samtools_stats_mqc_generalstats_samtools_stats_reads_properly_paired_percent	samtools_stats_mqc_generalstats_samtools_stats_reads_mq0_percent	samtools_stats_mqc_generalstats_samtools_stats_raw_total_sequences	samtools_flagstat_mqc_generalstats_samtools_flagstat_flagstat_total	samtools_flagstat_mqc_generalstats_samtools_flagstat_mapped_passed	samtools_flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_pct	star_mqc_generalstats_star_uniquely_mapped_percent	star_mqc_generalstats_star_uniquely_mapped	umi_tools_dedup_mqc_generalstats_umi_tools_dedup_dedup_output_reads	umi_tools_dedup_mqc_generalstats_umi_tools_dedup_dedup_percent_passing	sort_me_rna_mqc_generalstats_sortmerna_r_rna_pct	fast_qc_raw_mqc_generalstats_fastqc_raw_percent_duplicates	fast_qc_raw_mqc_generalstats_fastqc_raw_percent_gc	fast_qc_raw_mqc_generalstats_fastqc_raw_avg_sequence_length	fast_qc_raw_mqc_generalstats_fastqc_raw_median_sequence_length	fast_qc_raw_mqc_generalstats_fastqc_raw_percent_fails	fast_qc_raw_mqc_generalstats_fastqc_raw_total_sequences	cutadapt_mqc_generalstats_cutadapt_percent_trimmed	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_percent_duplicates	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_percent_gc	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_avg_sequence_length	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_median_sequence_length	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_percent_fails	fast_qc_trimmed_mqc_generalstats_fastqc_trimmed_total_sequences	sample_2
K562_cyclosporin_0.156_24_NONE_F17_50	0.000214352924668096	92.7996271021114	0.003019409	3105984	70072226	100	100	0.234605077338345	70072226	73178210	73178210	100	95.28	43946957	36774124	77.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_0.156_24_NONE_F17_50
K562_rapamycin_10_24_NONE_F3_50	8.9893035378273e-06	93.1594804531291	0.002899699	3029798	74573518	100	100	0.168767685064824	74573518	77603316	77603316	100	95.34	42442959	39003842	84.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_10_24_NONE_F3_50
K562_rapamycin_2.5_24_NONE_F5_50	1.99127027113136e-05	93.1824259563136	0.002967367	2738843	67438950	100	100	0.171374257754606	67438950	70177793	70177793	100	95.25	39880704	35270514	81.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_2.5_24_NONE_F5_50
K562_rapamycin_0.312_24_NONE_F7_50	4.74196419452267e-05	93.3004936379065	0.003239282	2428263	61170378	100	100	0.173907704150529	61170378	63598641	63598641	100	95.53	42128082	31956716	70.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_0.312_24_NONE_F7_50
K562_rapamycin_0.0781_24_NONE_F9_50	2.5886148503139e-05	93.3230905211383	0.003085141	2396232	60648954	100	100	0.167979813798602	60648954	63045186	63045186	100	95.6	39549804	31679652	74.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_0.0781_24_NONE_F9_50
K562_Deucravacitinib_10_24_NONE_G12_50	5.6245989882945e-05	92.7342658525329	0.003017635	3355536	76645891	100	100	0.184369961854837	76645891	80001427	80001427	100	94.65	49307595	40189700	75.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_10_24_NONE_G12_50
K562_Deucravacitinib_5_24_NONE_G14_50	3.65476237465992e-05	92.4186536636333	0.00298219	3770396	81342257	100	100	0.202887166015076	81342257	85112653	85112653	100	93.87	50379124	42755503	77.91	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_5_24_NONE_G14_50
K562_Deucravacitinib_2.5_24_NONE_G16_50	2.74222003895803e-05	92.7228029742212	0.003018484	2936334	66530591	100	100	0.197204020027419	66530591	69466925	69466925	100	94.63	44384222	34898708	72.44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_2.5_24_NONE_G16_50
K562_GSK2982772_1.25_24_NONE_G18_50	3.907865149161e-05	92.2476181888456	0.00302424	4201639	88311258	100	100	0.215534241398758	88311258	92512897	92512897	100	93.64	56348437	46487353	75.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_1.25_24_NONE_G18_50
K562_GSK2982772_0.625_24_NONE_G20_50	1.78174052708695e-05	92.3625269523377	0.003189043	2448889	51736114	100	100	0.216444551672358	51736114	54185003	54185003	100	93.72	28961815	27215620	86.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.625_24_NONE_G20_50
K562_GSK2982772_0.312_24_NONE_G22_50	1.54611432866092e-05	92.6741132748319	0.003010884	3356969	74680260	100	100	0.209242710188743	74680260	78037229	78037229	100	94.59	43772515	39208722	82.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.312_24_NONE_G22_50
K562_GSK2982772_0.039_24_NONE_H1_50	3.51750926575895e-05	92.5955798896081	0.002967857	3288936	72377138	100	100	0.212673510245735	72377138	75666074	75666074	100	94.36	41627613	38023839	83.95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_GSK2982772_0.039_24_NONE_H1_50
K562_cyclosporin_10_24_NONE_H11_50	2.83683749482159e-05	93.2486655081325	0.002875426	2915540	71969892	100	100	0.183076556513382	71969892	74885432	74885432	100	95.26	43484626	37610674	80.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_10_24_NONE_H11_50
K562_cyclosporin_2.5_24_NONE_H13_50	5.80671058999185e-05	93.0403572848526	0.002970958	2764732	65700751	100	100	0.197058630273496	65700751	68465483	68465483	100	95.02	41197273	34400718	77.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_2.5_24_NONE_H13_50
K562_cyclosporin_0.625_24_NONE_H15_50	8.96368988501379e-05	93.2860778969567	0.003083389	2400121	60004833	100	100	0.175855834812506	60004833	62404954	62404954	100	95.35	42189507	31348299	68.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_0.625_24_NONE_H15_50
K562_cyclosporin_0.156_24_NONE_H17_50	4.89709369731798e-05	93.1833124063689	0.002955931	2639320	64393017	100	100	0.18326366040591	64393017	67032337	67032337	100	95.11	37707331	33678603	82.61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_cyclosporin_0.156_24_NONE_H17_50
K562_rapamycin_10_24_NONE_H3_50	2.98853709241491e-05	92.910554868828	0.003000582	2621261	60894147	100	100	0.198997778883412	60894147	63515408	63515408	100	95.13	35970303	31915728	81.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_10_24_NONE_H3_50
K562_rapamycin_2.5_24_NONE_H5_50	3.93194897273901e-05	92.8043118422539	0.002937162	3019655	69144395	100	100	0.198817272173688	69144395	72164050	72164050	100	94.92	40349808	36270421	82.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_2.5_24_NONE_H5_50
K562_rapamycin_0.312_24_NONE_H7_50	4.40130519825393e-05	92.8992605939378	0.003019754	2214925	51479793	100	100	0.193322455667217	51479793	53694718	53694718	100	94.9	29481073	26978201	84.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_0.312_24_NONE_H7_50
K562_rapamycin_0.039_24_NONE_H9_50	6.22906471908268e-05	92.7873889906861	0.002966353	2855123	65472477	100	100	0.194565725686535	65472477	68327600	68327600	100	94.91	42009996	34336042	75.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_rapamycin_0.039_24_NONE_H9_50
K562_Deucravacitinib_20_24_NONE_I10_50	7.44638390832182e-05	92.4596516220365	0.003373083	3936945	85985505	100	100	0.196738973621193	85985505	89922450	89922450	100	94.18	57388693	45169501	72.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_20_24_NONE_I10_50
K562_Deucravacitinib_10_24_NONE_I12_50	2.52927710514263e-05	92.5476992400129	0.003025528	2855215	62786030	100	100	0.198900933854235	62786030	65641245	65641245	100	94.37	39803005	32968098	76.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_10_24_NONE_I12_50
K562_Deucravacitinib_5_24_NONE_I14_50	5.13749424472207e-05	92.6917143511137	0.003003872	2953365	66645324	100	100	0.194628808466743	66645324	69598689	69598689	100	94.59	44003092	34964208	73.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	K562_Deucravacitinib_5_24_NONE_I14_50
