Sample	Custom content: Biotype Counts_mqc-generalstats-custom_content_biotype_counts-percent_rRNA	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools: stats_mqc-generalstats-samtools_stats-error_rate	Samtools: stats_mqc-generalstats-samtools_stats-non_primary_alignments	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped	Samtools: stats_mqc-generalstats-samtools_stats-reads_mapped_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_properly_paired_percent	Samtools: stats_mqc-generalstats-samtools_stats-reads_MQ0_percent	Samtools: stats_mqc-generalstats-samtools_stats-raw_total_sequences	Samtools: flagstat_mqc-generalstats-samtools_flagstat-flagstat_total	Samtools: flagstat_mqc-generalstats-samtools_flagstat-mapped_passed	Samtools: flagstat_mqc-generalstats-samtools_flagstat-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	UMI Tools Dedup_mqc-generalstats-umi_tools_dedup-dedup_output_reads	UMI Tools Dedup_mqc-generalstats-umi_tools_dedup-dedup_percent_passing	SortMeRNA_mqc-generalstats-sortmerna-rRNA_pct	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
A-2024-0142_J7_S79	0.00010393275733522064	93.28225738382928	0.003138645	2162492.0	54054443.0	100.0	100.0	0.17011367594704474	54054443.0	56216935	56216935	100.0	95.32	33518740.0	28245229	77.98														
A-2024-0142_J7_S79_1																		30.86278431226583	49.0	150.0	150	18.181818181818183	36699796.0	2.8754455239459924	48.11972755755329	49.0	142.155984305961	145	9.090909090909092	36178832.0
A-2024-0142_J7_S79_2																	1.9573766228826845	30.850992659098793	51.0	150.0	150	18.181818181818183	36699796.0	3.077370859462562	47.68533469919352	50.0	141.92137709144396	145	9.090909090909092	36178832.0
A-2024-0142_J9_S80	2.2849161753747804e-05	92.9430644811642	0.003093333	2508770.0	59138442.0	100.0	100.0	0.1914440018558487	59138442.0	61647212	61647212	100.0	95.12	38616573.0	30977428	74.03														
A-2024-0142_J9_S80_1																		34.94233633610534	49.0	150.0	150	18.181818181818183	42502424.0	2.992891920218723	51.640814409583655	49.0	141.84844632542416	145	18.181818181818183	41945753.0
A-2024-0142_J9_S80_2																	2.434607622850399	35.04611757512302	51.0	150.0	150	18.181818181818183	42502424.0	3.1760971302848917	51.307034753570406	50.0	141.6335309322019	145	18.181818181818183	41945753.0
A-2024-0142_K10_S81	2.5751723570011797e-05	92.57547038988554	0.00302931	3559495.0	79449252.0	100.0	100.0	0.1865064758570666	79449252.0	83008747	83008747	100.0	94.52	52671581.0	41693291	72.84														
A-2024-0142_K10_S81_1																		37.332130672427546	49.0	150.0	150	18.181818181818183	57195471.0	2.5165310246571675	54.929454591888366	49.0	141.3735434973384	145	18.181818181818183	56950634.0
A-2024-0142_K10_S81_2																	1.5985888761133018	38.1389111072335	50.0	150.0	150	18.181818181818183	57195471.0	2.6080330972239105	55.4584354313465	50.0	141.27357512824176	145	18.181818181818183	56950634.0
A-2024-0142_K12_S82	3.160022293670007e-05	92.53347133208604	0.00304167	3614452.0	79586300.0	100.0	100.0	0.20465959593548136	79586300.0	83200752	83200752	100.0	94.45	55299022.0	41795836	69.5														
A-2024-0142_K12_S82_1																		39.514471398475045	49.0	150.0	150	18.181818181818183	60192448.0	2.8054892682974404	56.028859185578845	49.0	141.13326127532616	145	18.181818181818183	59856406.0
A-2024-0142_K12_S82_2																	1.6149725060338571	40.397588422253875	50.0	150.0	150	18.181818181818183	60192448.0	2.900282784472483	56.97216637772942	50.0	141.03064564217237	145	18.181818181818183	59856406.0
A-2024-0142_K14_S83	3.655521114792593e-05	92.64697923527007	0.002977782	3335027.0	74676775.0	100.0	100.0	0.19620022423303632	74676775.0	78011802	78011802	100.0	94.53	48207663.0	39198135	74.8														
A-2024-0142_K14_S83_1																		35.5730016543	49.0	150.0	150	18.181818181818183	52572544.0	3.023627025307853	53.09902827353221	49.0	141.255559551686	145	18.181818181818183	52108743.0
A-2024-0142_K14_S83_2																	1.589731304783153	36.31479827303482	50.0	150.0	150	18.181818181818183	52572544.0	3.1407324416858846	54.01484708901069	50.0	141.1168938770985	145	18.181818181818183	52108743.0
A-2024-0142_K16_S84	3.010652674466775e-05	92.50704904318877	0.002981888	3822512.0	83617724.0	100.0	100.0	0.20559158008175396	83617724.0	87440236	87440236	100.0	94.24	52771534.0	43940571	76.5														
A-2024-0142_K16_S84_1																		34.49703736836284	49.0	150.0	150	18.181818181818183	57642997.0	2.946393943420036	53.13469181440401	49.0	140.73987284713584	145	18.181818181818183	57403819.0
A-2024-0142_K16_S84_2																	1.9177504548956927	35.25168334343668	50.0	150.0	150	18.181818181818183	57642997.0	3.0547904586116386	53.985421044656604	50.0	140.619845310292	145	18.181818181818183	57403819.0
A-2024-0142_K18_S85	4.973270565290825e-05	91.87220856438852	0.002993124	4918524.0	97766542.0	100.0	100.0	0.2267646942038719	97766542.0	102685066	102685066	100.0	93.11	66348800.0	51592418	71.0														
A-2024-0142_K18_S85_1																		39.962022476073265	49.0	150.0	150	27.27272727272727	73493112.0	5.430470601624966	57.40542632789865	49.0	137.974399908103	142	18.181818181818183	72742317.0
A-2024-0142_K18_S85_2																	1.569628996007922	40.99336220316291	50.0	150.0	150	27.27272727272727	73493112.0	5.4958325233582945	58.54125305547281	50.0	137.91319494263567	142	18.181818181818183	72742317.0
A-2024-0142_K20_S86	5.23459025616619e-05	92.09505225937144	0.003110958	3189547.0	65613615.0	100.0	100.0	0.21783588665248824	65613615.0	68803162	68803162	100.0	93.04	55746626.0	34555348	56.67														
A-2024-0142_K20_S86_1																		49.60630928070889	50.0	150.0	150	27.27272727272727	61972711.0	5.587748463830398	62.31776243721138	49.0	137.9463574204383	142	18.181818181818183	61249273.0
A-2024-0142_K20_S86_2																	1.7353136583351771	50.6978703650182	50.0	150.0	150	36.36363636363637	61972711.0	5.666404073705369	63.377709552691044	50.0	137.86330399382862	142	18.181818181818183	61249273.0
A-2024-0142_K22_S87	1.6473937160606008e-05	92.68993413614464	0.002996521	3655551.0	82455260.0	100.0	100.0	0.19591836833696236	82455260.0	86110811	86110811	100.0	94.45	52718739.0	43270120	75.55														
A-2024-0142_K22_S87_1																		35.93064268485965	49.0	150.0	150	18.181818181818183	57347614.0	2.819000197155784	54.46806844988853	49.0	141.18533459898916	145	18.181818181818183	56992850.0
