Sample	total	rRNA	rRNA_pct	non_rRNA	non_rRNA_pct	rfam-5.8s-database-id98_pct	rfam-5.8s-database-id98_count	rfam-5s-database-id98_pct	rfam-5s-database-id98_count	silva-arc-16s-id95_pct	silva-arc-16s-id95_count	silva-arc-23s-id98_pct	silva-arc-23s-id98_count	silva-bac-16s-id90_pct	silva-bac-16s-id90_count	silva-bac-23s-id98_pct	silva-bac-23s-id98_count	silva-euk-18s-id95_pct	silva-euk-18s-id95_count	silva-euk-28s-id98_pct	silva-euk-28s-id98_count
RSS0001479_2	41993050	2408150	5.734639422475862	39584900	94.26536057752413	0.06	25195.829999999998	0.56	235161.08000000005	0.1	41993.05	0.52	218363.86	2.06	865056.83	0.18	75587.48999999999	0.86	361140.23	1.39	583703.395
RSS0001480_1																					
RSS0001480_2	50523046	3324759	6.580678053338272	47198287	93.41932194666173	0.05	25261.523	0.52	262719.8392	0.08	40418.4368	0.45	227353.70700000002	3.32	1677365.1272	0.16	80836.8736	0.81	409236.67260000005	1.19	601224.2474
RSS0001481_1																					
RSS0001481_2	76305832	4838045	6.340334510735693	71467787	93.65966548926431	0.07	53414.08240000001	0.49	373898.5768	0.11	83936.4152	0.55	419682.07600000006	2.42	1846601.1343999999	0.19	144981.0808	1.03	785950.0696	1.48	1129326.3136
RSS0001482_1																					
RSS0001482_2	62264072	3391480	5.446929330288581	58872592	94.55307066971142	0.04	24905.628800000002	0.5	311320.36	0.06	37358.443199999994	0.37	230377.0664	2.75	1712261.98	0.13	80943.29359999999	0.6	373584.43200000003	1.0	622640.72
RSS0001483_1																					
RSS0001483_2	61152072	3646892	5.963644208163544	57505180	94.03635579183646	0.04	24460.828800000003	0.5	305760.36	0.06	36691.2432	0.38	232377.8736	3.16	1932405.4752000002	0.14	85612.90080000002	0.62	379142.8464	1.05	642096.756
RSS0001484_1																					
